Datetime,Tweet Id,Text,Username,Vaccine,zip_code,Hospital_Name,Capacity,Hour,Day,dayofweek
2021-05-24 11:43:49+05:30,1396711011030237184,"560047 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at ST PHILOMENA HOSPITAL BLOCK 1(Capacity: 40, Dose 1: 30 slots left, Dose 2: 10 slots left)",BloreVaccine,COVISHIELD,560047,ST PHILOMENA HOSPITAL BLOCK ,40,11,24,0
2021-05-24 11:29:24+05:30,1396707385339613184,"560099 on 25-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BangaloreUrban at Sparsh Hospital Basement(Capacity: 100, Dose 1: 80 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560099,Sparsh Hospital Basemen,100,11,24,0
2021-05-24 09:23:17+05:30,1396675644814020609,"560001 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 150, Dose 1: 130 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,150,9,24,0
2021-05-24 09:12:34+05:30,1396672948119826435,"560001 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL Covi-s(Capacity: 550, Dose 1: 250 slots left, Dose 2: 300 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL Covi-,550,9,24,0
2021-05-24 09:01:50+05:30,1396670246409293833,"560011 on 24-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at APOLLO JAYANAGAR-COVAXIN(Capacity: 150, Dose 1: 50 slots left, Dose 2: 100 slots left)",BloreVaccine,COVAXIN,560011,APOLLO JAYANAGAR-COVAXI,150,9,24,0
2021-05-24 08:05:49+05:30,1396656149286449164,"560024 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at COLUMBIA ASIA HEBBAL(Capacity: 50, Dose 1: 50 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560024,COLUMBIA ASIA HEBBA,50,8,24,0
2021-05-24 07:27:22+05:30,1396646473777893381,"560020 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at APOLLO HOSPITAL SHESHADRIPURAM(Capacity: 100, Dose 1: 100 slots left, Dose 2: 0 slots left)",BloreVaccine,COVISHIELD,560020,APOLLO HOSPITAL SHESHADRIPURA,100,7,24,0
2021-05-24 06:46:53+05:30,1396636287700856833,"560011 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at Apollo Hospital-JAYANAGAR(Capacity: 120, Dose 1: 100 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560011,Apollo Hospital-JAYANAGA,120,6,24,0
2021-05-23 14:17:38+05:30,1396387334719868930,"560001 on 24-05-2021 COVISHIELD available for 18 to 44 in #Karnataka, #BBMP at VIKRAM HOSPITAL BLOCK 2(Capacity: 150, Dose 1: 130 slots left, Dose 2: 20 slots left)",BloreVaccine,COVISHIELD,560001,VIKRAM HOSPITAL BLOCK ,150,14,23,6
2021-05-23 13:44:41+05:30,1396379043004440583,"560010 on 24-05-2021 COVAXIN available for 18 to 44 in #Karnataka, #BBMP at SUGUNA HOSPITAL(Capacity: 20, Dose 1: 20 slots left, Dose 2: 0 slots left)",BloreVaccine,COVAXIN,560010,SUGUNA HOSPITA,20,13,23,6
